timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1547521621562,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621563,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621564,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621565,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621566,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621566,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621567,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621568,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621569,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621570,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621570,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621571,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621572,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621572,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621573,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621574,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621574,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
